t,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,v0,v1,v2
0.04887,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99763,134.00273,-226.57234,30.20418,-0.00000,0.00124,-0.00001
0.08449,0.99480,-0.00019,-0.10186,0.10144,-0.00103,0.99993,-0.01197,0.10228,0.10186,0.01201,0.99473,0.99480,-96.99763,134.00276,-226.57227,30.20418,-0.00000,0.00184,-0.00001
0.10583,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99764,134.00270,-226.57243,30.20418,-0.00000,0.00124,-0.00001
0.38935,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99765,134.00269,-226.57249,30.20418,-0.00000,0.00124,-0.00001
0.42990,0.99480,-0.00019,-0.10186,0.10144,-0.00103,0.99993,-0.01189,0.10228,0.10186,0.01193,0.99473,0.99480,-96.99762,134.00281,-226.57214,30.20418,-0.00000,0.00216,-0.00001
0.47508,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99764,134.00270,-226.57246,30.20418,-0.00000,0.00124,-0.00001
0.51530,0.99480,-0.00019,-0.10186,0.10144,-0.00103,0.99993,-0.01197,0.10228,0.10186,0.01201,0.99473,0.99480,-96.99763,134.00273,-226.57233,30.20418,-0.00000,0.00184,-0.00001
0.53749,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99764,134.00270,-226.57246,30.20418,-0.00000,0.00124,-0.00001
0.56632,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99765,134.00269,-226.57251,30.20418,-0.00000,0.00124,-0.00001
0.58337,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99763,134.00273,-226.57236,30.20418,-0.00000,0.00124,-0.00001
0.60709,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99764,134.00270,-226.57245,30.20418,-0.00000,0.00124,-0.00001
0.63519,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99765,134.00269,-226.57249,30.20418,-0.00000,0.00124,-0.00001
0.75189,0.99480,-0.00019,-0.10186,0.10144,-0.00104,0.99993,-0.01206,0.10228,0.10186,0.01210,0.99473,0.99480,-96.99763,134.00273,-226.57234,30.20418,-0.00000,0.00124,-0.00001
0.80539,0.99480,-0.00019,-0.10186,0.10144,-0.00103,0.99993,-0.01189,0.10228,0.10186,0.01193,0.99473,0.99480,-96.99761,134.00288,-226.57201,30.20418,-0.00000,0.00216,-0.00001
0.83518,0.99480,-0.00019,-0.10186,0.10144,-0.00103,0.99993,-0.01197,0.10228,0.10186,0.01201,0.99473,0.99480,-96.99763,134.00278,-226.57224,30.20418,-0.00000,0.00184,-0.00001
